movie_id,title,tag
1452,superman returns,"adventure fantasy action science fiction saving the world dc comics invulnerability sequel superhero based on comic book kryptonite super powers superhuman strength lex luthor superman / clark kent lex luthor lois lane bryansinger in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
10764,quantum of solace,"adventure action thriller crime killing undercover secret agent british secret service james bond camille montes dominic greene marcforster in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
58,pirates of the caribbean: dead man's chest,"adventure fantasy action witch fortune teller bondage exotic island monster captain card game east india trading company compass ship daughter pirate swashbuckler aftercreditsstinger captain jack sparrow will turner elizabeth swann goreverbinski in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
57201,the lone ranger,"action adventure western texas horse survivor texas ranger partner outlaw escape lawyer train lone ranger comanche the lone ranger tonto tonto john reid / the lone ranger butch cavendish goreverbinski in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
49521,man of steel,"action adventure fantasy science fiction saving the world dc comics superhero based on comic book superhuman alien invasion reboot super powers dc extended universe clark kent / kal-el lois lane general zod zacksnyder in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
2454,the chronicles of narnia: prince caspian,"adventure family fantasy based on novel fictional place brother sister relationship lion human being wretch leap in time matter of life and death faith uncle narnia fantasy world prince caspian peter pevensie susan pevensie andrewadamson in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
24428,the avengers,"science fiction action adventure new york shield marvel comic superhero based on comic book alien invasion superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe tony stark / iron man steve rogers / captain america bruce banner / the hulk josswhedon in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
1865,pirates of the caribbean: on stranger tides,"adventure action fantasy sea captain mutiny sword prime minister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d captain jack sparrow angelica teach captain edward ""blackbeard"" teach robmarshall in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
41154,men in black 3,"action comedy science fiction time travel time machine alien fictional government agency seeing the future changing history agent j agent k young agent k barrysonnenfeld in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
122917,the hobbit: the battle of the five armies,"action adventure fantasy corruption elves dwarves orcs middle-earth (tolkien) hobbit dragon battle unlikely friendship epic battle sword and sorcery bilbo baggins gandalf thorin oakenshield peterjackson in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
1930,the amazing spider-man,"action adventure fantasy loss of father vigilante serum marvel comic scientific experiment spider bite masked vigilante reboot super powers genetic engineering social outcast duringcreditsstinger peter parker / spider-man gwen stacy dr. curt connors / the lizard marcwebb in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
20662,robin hood,"action adventure robin hood archer knight sherwood forest bow and arrow middle ages medieval king of england robin longstride marion loxley sir walter loxley ridleyscott in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
57158,the hobbit: the desolation of smaug,"adventure fantasy elves dwarves orcs hobbit dragon wizard sword and sorcery bilbo baggins gandalf thorin oakenshield peterjackson in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
2268,the golden compass,"adventure fantasy england compass experiment lordship uncle polar bear orphan animal based on young adult novel lyra belacqua marisa coulter lord asriel chrisweitz in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
254,king kong,"adventure drama action film business screenplay show business film making film producer exotic island monster indigenous ship dinosaur ann darrow carl denham jack driscoll peterjackson in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
597,titanic,"drama romance thriller shipwreck iceberg ship panic titanic ocean liner epic rich woman - poor man love disaster tragic love class differences imax star crossed lovers steerage salvage rich snob 3d 1910s rose dewitt bukater jack dawson ruth dewitt bukater jamescameron in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
271110,captain america: civil war,"adventure action science fiction civil war war marvel comic sequel superhero based on comic book imax aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d steve rogers / captain america tony stark / iron man natasha romanoff / black widow anthonyrusso joerusso in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
44833,battleship,"thriller action adventure science fiction fight u.s. navy mind reading hong kong soccer scientist fictional war naval armada battleship naval combat jds myoko lost communication taser buoy communications expert joint chiefs of staff crash landing jet fighter pilot navy lieutenant permission to marry uss john paul jones based on board game aftercreditsstinger mighty mo uss missouri lieutenant alex hopper commander stone hopper petty officer cora 'weps' raikes peterberg in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
135397,jurassic world,"action adventure science fiction thriller monster dna tyrannosaurus rex velociraptor island sequel suspense disaster escape dinosaur amusement park animal attack theme park jurassic park 3d animal horror owen grady claire dearing simon masrani colintrevorrow in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
37724,skyfall,"action adventure thriller spy secret agent sociopath killer art gallery british secret service istanbul turkey imax uzi booby trap impersonating a police officer macao james bond m silva sammendes in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
558,spider-man 2,"action adventure fantasy dual identity love of one's life pizza boy marvel comic sequel superhero doctor scientist tentacle death super villain peter parker / spider-man mary jane watson harry osborn samraimi in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
68721,iron man 3,"action adventure science fiction terrorist war on terror tennessee malibu marvel comic superhero based on comic book tony stark iron man aftercreditsstinger marvel cinematic universe mandarin 3d war machine iron patriot extremis tony stark / iron man virginia ""pepper"" potts colonel james "" rhodey"" rhodes shaneblack in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
12155,alice in wonderland,"family fantasy adventure based on novel fictional place queen fantasy alice in wonderland fantasy world 3d alice kingsleigh the mad hatter the white queen timburton in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
36668,x-men: the last stand,"adventure action science fiction thriller mutant marvel comic based on comic book superhuman beast cyclops aftercreditsstinger logan / wolverine ororo munroe / storm eric lehnsherr / magneto brettratner in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
62211,monsters university,"animation family monster dormitory games animation best friend university scary aftercreditsstinger michael ""mike"" wazowski (voice) james p. ""sulley"" sullivan (voice) randall boggs (voice) danscanlon in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
8373,transformers: revenge of the fallen,"science fiction action adventure egypt sun chaos symbol artifact transformers tank robot imax duringcreditsstinger sam witwicky mikaela banes captain lennox michaelbay in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
91314,transformers: age of extinction,"science fiction action adventure sequel alien transformers giant robot robot imax transforming robot cade yeager joshua harold attinger michaelbay in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
68728,oz: the great and powerful,"fantasy adventure family circus witch magic hope illusion lost magic trick wizard 3d oz theodora evanora samraimi in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
102382,the amazing spider-man 2,"action adventure fantasy obsession marvel comic sequel based on comic book electrocution medical experiment electricity super powers peter parker / spider-man gwen stacy max dillon / electro marcwebb in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
20526,tron: legacy,"adventure action science fiction artificial intelligence secret identity computer program dystopia computer deception duel motorcycle neon light autocracy sam flynn kevin flynn / clu quorra josephkosinski in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
49013,cars 2,"animation family adventure comedy car race sequel comedy anthropomorphism best friend duringcreditsstinger lightning mcqueen (voice) mater (voice) finn mcmissile (voice) johnlasseter bradlewis in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
44912,green lantern,"adventure action thriller science fiction dc comics transformation superhero alien alien infection magical object protector super powers origin 3d hal jordan / green lantern carol ferris hector hammond martincampbell in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
10193,toy story 3,"animation family comedy hostage college toy barbie animation escape day care teddy bear duringcreditsstinger toy comes to life personification inanimate objects coming to life toy story woody (voice) buzz lightyear (voice) lotso (voice) leeunkrich in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
534,terminator salvation,"action science fiction thriller saving the world artificial intelligence prophecy san francisco cyborg killer robot gas station post-apocalyptic dystopia army firearm wartime los angeles john connor marcus wright kyle reese mcg in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
168259,furious 7,"action car race speed revenge suspense car race muscle car dominic toretto brian o'conner hobbs jameswan in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
72190,world war z,"action drama horror science fiction thriller dystopia apocalypse zombie nuclear weapons multiple perspectives zombie apocalypse gerry lane karen lane rachel lane marcforster in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
127585,x-men: days of future past,"action adventure fantasy science fiction 1970s mutant time travel marvel comic based on comic book superhuman storm beast aftercreditsstinger changing the past or future logan / wolverine charles xavier / professor x (young) erik lehnsherr / magneto (young) bryansinger in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
54138,star trek into darkness,"action adventure science fiction spacecraft friendship sequel futuristic space alien imax space opera terrorist bombing 3d james t. kirk spock nyota uhura j.j.abrams in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
81005,jack the giant slayer,"action family fantasy based on fairy tale giant jack princess isabelle elmont bryansinger in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
64682,the great gatsby,"drama romance based on novel infidelity obsession hope 3d jay gatsby nick carraway daisy buchanan bazluhrmann in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
9543,prince of persia: the sands of time,"adventure fantasy action romance persia sandstorm brother against brother armageddon regent based on video game prince dastan tamina nizam mikenewell in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
68726,pacific rim,"action science fiction adventure dystopia giant robot giant monster apocalypse imax duringcreditsstinger 3d stacker pentecost raleigh becket dr. newton geiszler guillermodeltoro in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
38356,transformers: dark of the moon,"action science fiction adventure moon spacecraft traitor bodyguard alien planet based on cartoon transformers giant robot sabotage word domination commando duringcreditsstinger sam witwicky bruce brazos jerry wang michaelbay in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
217,indiana jones and the kingdom of the crystal skull,"adventure action saving the world riddle whip treasure mexico city leather jacket machinegun alien phenomenons maya civilization peru treasure hunt nuclear explosion refrigerator archaeologist indiana jones archeology indiana jones irina spalko mutt williams stevenspielberg in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
105864,the good dinosaur,"adventure animation family tyrannosaurus rex friends alternate history dinosaur fear storm nature human journey arlo (voice) spot (voice) poppa (voice) petersohn in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
62177,brave,"animation adventure comedy family action fantasy scotland rebel bravery kingdom archer wish bear scot rebellious daughter turns into animal archery ruins aftercreditsstinger peace offering woman director courage 3d mérida (voice) the witch (voice) king fergus (voice) brendachapman markandrews stevepurcell in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
188927,star trek beyond,"action adventure science fiction sequel stranded hatred space opera james t. kirk spock dr. leonard 'bones' mccoy justinlin in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
10681,wall·e,"animation family romantic comedy wall·e / m-o (voice) eve (voice) captain (voice) andrewstanton in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
5174,rush hour 3,"action comedy crime thriller ambassador det. james carter chief insp. lee kenji brettratner in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
14161,2012,"action adventure science fiction civilization natural disaster end of the world disaster apocalypse destruction volcanic eruption mayan ark solar destruction of mankind jackson curtis kate curtis adrian helmsley rolandemmerich in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
17979,a christmas carol,"animation drama holiday based on novel victorian england money christmas eve scrooge christmas carol ghost lesson charles dickens christmas tiny tim, bob cratchit, marley ebenezer scrooge, ghost of christmas past, ghost of christmas present, ghost of christmas yet to come funerary undertaker / topper robertzemeckis in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
76757,jupiter ascending,"science fiction fantasy action adventure jupiter space woman director 3d interspecies romance jupiter jones caine wise stinger apini lillywachowski lanawachowski in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
258489,the legend of tarzan,"action adventure africa feral child tarzan jungle animal attack john clayton / tarzan jane porter captain leon rom davidyates in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
411,"the chronicles of narnia: the lion, the witch and the wardrobe","adventure family fantasy saving the world witch based on novel brother sister relationship self sacrifice winter cupboard beaver lion fairy-tale figure battle narnia fantasy world duringcreditsstinger peter pevensie susan pevensie edmund pevensie andrewadamson in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
246655,x-men: apocalypse,"science fiction mutant supernatural powers marvel comic superhero based on comic book superhuman apocalypse superhero team world domination aftercreditsstinger 1980s professor charles xavier erik lehnsherr / magneto raven darkholme / mystique bryansinger in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
155,the dark knight,"drama action crime thriller dc comics crime fighter secret identity scarecrow sadism chaos gotham city vigilante joker superhero based on comic book tragic hero organized crime criminal mastermind district attorney imax super villain super powers batman bruce wayne joker harvey dent christophernolan in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
14160,up,"animation comedy family adventure age difference central and south america balloon animation floating in the air duringcreditsstinger exploring carl fredricksen (voice) charles muntz (voice) russell (voice) petedocter in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
15512,monsters vs aliens,"animation family adventure science fiction alien giant robot duringcreditsstinger b.o.b. (voice) susan murphy / ginormica (voice) dr. cockroach ph.d. (voice) conradvernon robletterman in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
1726,iron man,"action science fiction adventure middle east arms dealer malibu marvel comic superhero based on comic book tony stark iron man aftercreditsstinger marvel cinematic universe counter terrorism agent coulson tony stark / iron man lt. col. james ""rhodey"" rhodes / war machine obadiah stane / iron monger jonfavreau in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
44826,hugo,"adventure drama family library clock film director key toy boy love orphan robot automaton hiding filmmaking leg brace doberman 3d georges méliès the station inspector hugo cabret martinscorsese in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
8487,wild wild west,"action adventure comedy science fiction western steampunk based on tv series steam locomotive drag capt. james west u.s. marshal artemus gordon dr. arliss loveless barrysonnenfeld in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
1735,the mummy: tomb of the dragon emperor,"adventure action fantasy richard o'connell emperor han jonathan carnahan robcohen in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
297761,suicide squad,"action adventure crime fantasy science fiction dc comics shared universe anti hero secret mission villain superhero supervillain dc extended universe floyd lawton / deadshot harleen quinzel / harley quinn rick flag davidayer in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
2698,evan almighty,"fantasy comedy family father son relationship daily life married couple support father marriage faith baustelle rescue animal nature duringcreditsstinger noah's ark evan baxter joan baxter congressman long tomshadyac in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
137113,edge of tomorrow,"action science fiction deja vu time warp restart dystopia war alien military officer soldier alien invasion exoskeleton maj. william ""bill"" cage sgt. rita vrataski general brigham dougliman in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
9804,waterworld,"adventure action ocean tattoo mutant water dystopia doomsday mariner drifter gatesman kevinreynolds in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
14869,g.i. joe: the rise of cobra,"adventure action thriller science fiction terrorist secret hostage technology warhead government president revenge murder attack explosion scientist lasers evil cobra general hawk duke ripcord stephensommers in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
150540,inside out,"drama comedy animation family dream cartoon imaginary friend animation family moving kids unicorn duringcreditsstinger 3d emotions joy (voice) sadness (voice) bing bong (voice) petedocter in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
278927,the jungle book,"family adventure drama fantasy based on novel snake wolf elephant tiger feral child panther remake bear jungle talking animal orphan animal talking to animals mowgli baloo (voice) bagheera (voice) jonfavreau in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
10138,iron man 2,"adventure action science fiction malibu marvel comic superhero based on comic book revenge aftercreditsstinger marvel cinematic universe tony stark / iron man virginia ""pepper"" potts lt. col. james ""rhodey"" rhodes / war machine jonfavreau in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
58595,snow white and the huntsman,"adventure fantasy drama queen magic fairy tale immortality forest deception woman eternal youth snow white evil queen evil stepmother imprisoned sorceress snow white queen ravenna the huntsman rupertsanders in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
102651,maleficent,"fantasy adventure action family romance fairy tale villain sleeping beauty dark fantasy based on fairy tale adaptation retelling literary adaptation 3d maleficent princess aurora stefan robertstromberg in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
119450,dawn of the planet of the apes,"science fiction action drama thriller leader colony post-apocalyptic dystopia forest sequel woods ape scientist monkey medical research animal attack plague 3d caesar malcolm dreyfus mattreeves in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
79698,the lovers,"action adventure science fiction romance james stewart / jay fennel clara coldstream laura fennel rolandjoffé in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
64686,47 ronin,"drama action adventure fantasy japan suicide samurai based on true story samurai sword ronin shogun half breed 3d kai kuranosuke ôishi mika carlrinsch in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
100402,captain america: the winter soldier,"action adventure science fiction washington d.c. future shield marvel comic superhero based on comic book captain america aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d political thriller steve rogers / captain america nick fury natasha romanoff / black widow anthonyrusso joerusso in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
10192,shrek forever after,"comedy adventure fantasy animation family ogre 3d shrek (voice) donkey (voice) princess fiona (voice) mikemitchell in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
158852,tomorrowland,"adventure family mystery science fiction inventor apocalypse destiny imax dreamer futuristic car futuristic city casey newton frank walker athena bradbird in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
177572,big hero 6,"adventure family animation action comedy brother brother relationship hero talent revenge best friend another dimension robot boy genius hate aftercreditsstinger moral dilemma 3d teen superheroes dead brother baymax (voice) hiro hamada (voice) tadashi hamada (voice) chriswilliams donhall in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
82690,wreck-it ralph,"family animation comedy adventure support group product placement bullying racing arcade medal self esteem curiosity precocious child aftercreditsstinger duringcreditsstinger first person shooter glitch carefree video gamer q*bert interrupted wedding social reject wreck-it ralph (voice) vanellope von schweetz (voice) fix-it felix (voice) richmoore in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
5255,the polar express,"adventure animation family fantasy santa claus nerd faith gift bell beard north pole chute trestle ticket christmas hero boy / father / conductor / hobo / scrooge / santa claus (voice) smokey / steamer (voice) hero girl (voice) robertzemeckis in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
47933,independence day: resurgence,"action adventure science fiction alternate history alien invasion jake morrison david levinson president whitmore rolandemmerich in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
10191,how to train your dragon,"fantasy adventure animation family flying blacksmith arena island night ship training village forest viking friendship ignorance flight nest dragon battle combat well warrior hiccup stoick gobber chrissanders deandeblois in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
296,terminator 3: rise of the machines,"action thriller science fiction saving the world artificial intelligence man vs machine cyborg killer robot sun glasses leather jacket nanotechnology rocket launcher firemen veterinarian fire engine dystopia psychiatrist the terminator john connor kate brewster jonathanmostow in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
118340,guardians of the galaxy,"action science fiction adventure marvel comic spaceship space outer space orphan adventurer aftercreditsstinger duringcreditsstinger marvel cinematic universe peter quill / star-lord gamora drax the destroyer jamesgunn in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
157336,interstellar,"adventure drama science fiction saving the world artificial intelligence father son relationship single parent nasa expedition wormhole space travel famine black hole dystopia race against time quantum mechanics spaceship space rescue family relationships farmhouse robot astronaut scientist father daughter relationship single father farmer space station imax astrophysics zero gravity courage time paradox relativity joseph cooper murph cooper dr. amelia brand christophernolan in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
27205,inception,"action thriller science fiction mystery adventure loss of lover dream kidnapping sleep subconsciousness heist redemption female hero dom cobb arthur ariadne christophernolan in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
